PROV1;Raulsmark;Raulsmark;Raulsmark;;;;;;;;;x
PROV2;Retogau;Retogau;Retogau;;;;;;;;;x
PROV3;Ochsenblut;Ochsenblut;Ochsenblut;;;;;;;;;x
PROV4;Halsmark;Halsmark;Halsmark;;;;;;;;;x
PROV5;Alriksmark;Alriksmark;Alriksmark;;;;;;;;;x
PROV6;Gerbaldsmark;Gerbaldsmark;Gerbaldsmark;;;;;;;;;x
PROV7;Zagbar;Zagbar;Zagbar;;;;;;;;;x
PROV8;Halhof;Halhof;Halhof;;;;;;;;;x
PROV9;Höllenwall;Höllenwall;Höllenwall;;;;;;;;;x
PROV10;Schlundgau;Schlundgau;Schlundgau;;;;;;;;;x
PROV11;Eslamsgrund;Eslamsgrund;Eslamsgrund;;;;;;;;;x
PROV12;Dornensee;Dornensee;Dornensee;;;;;;;;;x
PROV13;Gallstein;Gallstein;Gallstein;;;;;;;;;x
PROV14;Waldfang;Waldfang;Waldfang;;;;;;;;;x
PROV15;Schwarztannen;Schwarztannen;Schwarztannen;;;;;;;;;x
PROV16;Syrrenholt;Syrrenholt;Syrrenholt;;;;;;;;;x
PROV17;Rubreth;Rubreth;Rubreth;;;;;;;;;x
PROV18;Randersburg;Randersburg;Randersburg;;;;;;;;;x
PROV19;Hirschfurten;Hirschfurten;Hirschfurten;;;;;;;;;x
PROV20;Schwanenbruch;Schwanenbruch;Schwanenbruch;;;;;;;;;x
PROV21;Serrinmoor;Serrinmoor;Serrinmoor;;;;;;;;;x
PROV22;Tannwirk;Tannwirk;Tannwirk;;;;;;;;;x
PROV23;Neerbusch;Neerbusch;Neerbusch;;;;;;;;;x
PROV24;Sertis;Sertis;Sertis;;;;;;;;;x
PROV25;Linara;Linara;Linara;;;;;;;;;x
PROV26;Silz;Silz;Silz;;;;;;;;;x
PROV27;Mardershöh;Mardershöh;Mardershöh;;;;;;;;;x
PROV28;Erlenstamm;Erlenstamm;Erlenstamm;;;;;;;;;x
PROV29;Ruchin;Ruchin;Ruchin;;;;;;;;;x
PROV30;Viehwiesen;Viehwiesen;Viehwiesen;;;;;;;;;x
PROV31;Ingerimmsschlund;Ingerimmsschlund;Ingerimmsschlund;;;;;;;;;x
PROV32;Hartsteen;Hartsteen;Hartsteen;;;;;;;;;x
PROV33;Feidewald;Feidewald;Feidewald;;;;;;;;;x
PROV34;Natzungen;Natzungen;Natzungen;;;;;;;;;x
PROV35;Bärenau;Bärenau;Bärenau;;;;;;;;;x
PROV36;Bugenhog;Bugenhog;Bugenhog;;;;;;;;;x
PROV37;Hutt;Hutt;Hutt;;;;;;;;;x
PROV38;Reichsgau;Reichsgau;Reichsgau;;;;;;;;;x
PROV39;Puleth;Puleth;Puleth;;;;;;;;;x
PROV40;Dubios;Dubios;Dubios;;;;;;;;;x
PROV41;Cres;Cres;Cres;;;;;;;;;x
PROV42;Jurios;Jurios;Jurios;;;;;;;;;x
PROV43;Kornhammer;Kornhammer;Kornhammer;;;;;;;;;x
PROV44;Selaque;Selaque;Selaque;;;;;;;;;x
PROV45;Schrotenstein;Schrotenstein;Schrotenstein;;;;;;;;;x
PROV46;Ragathsquell;Ragathsquell;Ragathsquell;;;;;;;;;x
PROV47;Falado;Falado;Falado;;;;;;;;;x
PROV48;Khahirios;Khahirios;Khahirios;;;;;;;;;x
PROV49;Franfeld;Franfeld;Franfeld;;;;;;;;;x
PROV50;Yasamir;Yasamir;Yasamir;;;;;;;;;x
PROV51;Bosquirien;Bosquirien;Bosquirien;;;;;;;;;x
PROV52;Punin;Punin;Punin;;;;;;;;;x
PROV53;Imrah;Imrah;Imrah;;;;;;;;;x
PROV54;Brig-Lo;Brig-Lo;Brig-Lo;;;;;;;;;x
PROV55;Nordhain;Nordhain;Nordhain;;;;;;;;;x
PROV56;Artésa;Artésa;Artésa;;;;;;;;;x
PROV57;Thangolforst;Thangolforst;Thangolforst;;;;;;;;;x
PROV58;Nemento;Nemento;Nemento;;;;;;;;;x
PROV59;Khabosa;Khabosa;Khabosa;;;;;;;;;x
PROV60;Taladur;Taladur;Taladur;;;;;;;;;x
PROV61;Kyrstollen;Kyrstollen;Kyrstollen;;;;;;;;;x
PROV62;Braast;Braast;Braast;;;;;;;;;x
PROV63;Bangour;Bangour;Bangour;;;;;;;;;x
PROV64;Jannbach;Jannbach;Jannbach;;;;;;;;;x
PROV65;Flogglond;Flogglond;Flogglond;;;;;;;;;x
PROV66;Hérrison;Hérrison;Hérrison;;;;;;;;;x
PROV67;Agum;Agum;Agum;;;;;;;;;x
PROV68;Inostal;Inostal;Inostal;;;;;;;;;x
PROV69;Geiersgau;Geiersgau;Geiersgau;;;;;;;;;x
PROV70;Brindâl;Brindâl;Brindâl;;;;;;;;;x
PROV71;Mesch;Mesch;Mesch;;;;;;;;;x
PROV72;Schelak;Schelak;Schelak;;;;;;;;;x
PROV73;Haffith;Haffith;Haffith;;;;;;;;;x
PROV74;Brigella;Brigella;Brigella;;;;;;;;;x
PROV75;Phecadien;Phecadien;Phecadien;;;;;;;;;x
PROV76;Culming;Culming;Culming;;;;;;;;;x
PROV77;NorthOcean;NorthOcean;NorthOcean;;;;;;;;;x
PROV78;SouthOcean;SouthOcean;SouthOcean;;;;;;;;;x
PROV79;Fürstenhort;Fürstenhort;Fürstenhort;;;;;;;;;x
PROV80;Bärenfang;Bärenfang;Bärenfang;;;;;;;;;x
PROV81;Uztrutz;Uztrutz;Uztrutz;;;;;;;;;x
PROV82;Zwischenwasser;Zwischenwasser;Zwischenwasser;;;;;;;;;x
PROV83;Oberangbar;Oberangbar;Oberangbar;;;;;;;;;x
PROV84;Angbar;Angbar;Angbar;;;;;;;;;x
PROV85;Metenar;Metenar;Metenar;;;;;;;;;x
PROV86;Birnbrosch;Birnbrosch;Birnbrosch;;;;;;;;;x
PROV87;Koschgau;Koschgau;Koschgau;;;;;;;;;x
PROV88;Wengenholm;Wengenholm;Wengenholm;;;;;;;;;x
PROV89;Bärenklamm;Bärenklamm;Bärenklamm;;;;;;;;;x
PROV90;Geistmark;Geistmark;Geistmark;;;;;;;;;x
PROV91;Koschim;Koschim;Koschim;;;;;;;;;x
PROV92;Twergentrutz;Twergentrutz;Twergentrutz;;;;;;;;;x
PROV93;Auersbrück;Auersbrück;Auersbrück;;;;;;;;;x
PROV94;Roterz;Roterz;Roterz;;;;;;;;;x
PROV95;Nadoret;Nadoret;Nadoret;;;;;;;;;x
PROV96;Moorbrück;Moorbrück;Moorbrück;;;;;;;;;x
PROV97;Hammerschlag;Hammerschlag;Hammerschlag;;;;;;;;;x
PROV98;Bragahn;Bragahn;Bragahn;;;;;;;;;x
PROV99;Stanniz;Stanniz;Stanniz;;;;;;;;;x
PROV100;Ferdok;Ferdok;Ferdok;;;;;;;;;x
PROV111;Bröckling;Bröckling;Bröckling;;;;;;;;;x
PROV112;Oppstein;Oppstein;Oppstein;;;;;;;;;x
PROV113;Galbenburg;Galbenburg;Galbenburg;;;;;;;;;x
PROV114;Hallingen;Hallingen;Hallingen;;;;;;;;;x
