#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_abagund;Abagund;Abagund;Abagund;;Abagund;;;;;;;;;x
d_abagund_adj;Abagundian;;abagunder;;;;;;;;;;;x
d_albenhus;Albenhus;Albenhus;Albenhus;;Albenhus;;;;;;;;;x
d_albenhus_adj;Albenhusian;;albenhuser;;;;;;;;;;;x
d_baburin;Baburin;Baburin;Baburin;;Baburin;;;;;;;;;x
d_baburin_adj;Baburinian;;baburiner;;;;;;;;;;;x
d_baerwalde;Bärwalde;Bärwalde;Bärwalde;;Bärwalde;;;;;;;;;x
d_baerwalde_adj;Bärwaldean;;bärwalder;;;;;;;;;;;x
d_baliho;Baliho;Baliho;Baliho;;Baliho;;;;;;;;;x
d_baliho_adj;Balihian;;baliher;;;;;;;;;;;x
d_beilunk;Beilunk;Beilunk;Beilunk;;Beilunk;;;;;;;;;x
d_beilunk_adj;Beilunkian;;beilunker;;;;;;;;;;;x
d_bredenhag;Bredenhag;Bredenhag;Bredenhag;;Bredenhag;;;;;;;;;x
d_bredenhag_adj;Bredenhagian;;bredenhager;;;;;;;;;;;x
d_drachenstein;Drachenstein;Drachenstein;Drachenstein;;Drachenstein;;;;;;;;;x
d_drachenstein_adj;Drachensteinian;;drachensteiner;;;;;;;;;;;x
d_elburum;Elburum;Elburum;Elburum;;Elburum;;;;;;;;;x
d_elburum_adj;Elburumian;;elburumer;;;;;;;;;;;x
d_elenvina;Elenvina;Elenvina;Elenvina;;Elenvina;;;;;;;;;x
d_elenvina_adj;Elenvinan;;elenviner;;;;;;;;;;;x
d_eslamsgrund;Eslamsgrund;Eslamsgrund;Eslamsgrund;;Eslamsgrund;;;;;;;;;x
d_eslamsgrund_adj;Eslamsgrundian;;eslamsgrunder;;;;;;;;;;;x
d_ferdok;Ferdok;Ferdok;Ferdok;;Ferdok;;;;;;;;;x
d_ferdok_adj;Ferdokian;;ferdoker;;;;;;;;;;;x
d_gareth;Gareth;Gareth;Gareth;;Gareth;;;;;;;;;x
d_gareth_adj;Garethian;;garether;;;;;;;;;;;x
d_gratenfels;Gratenfels;Gratenfels;Gratenfels;;Gratenfels;;;;;;;;;x
d_gratenfels_adj;Gratenfelsian;;gratenfelser;;;;;;;;;;;x
d_great_river;Great River;Great River;Great River;;Great River;;;;;;;;;x
d_great_river_adj;Great Riverian;;Great Riverer;;;;;;;;;;;x
d_greifenfurt;Greifenfurt;Greifenfurt;Greifenfurt;;Greifenfurt;;;;;;;;;x
d_greifenfurt_adj;Greifenfurtian;;greifenfurter;;;;;;;;;;;x
d_hartsteen;Hartsteen;Hartsteen;Hartsteen;;Hartsteen;;;;;;;;;x
d_hartsteen_adj;Hartsteenian;;hartsteener;;;;;;;;;;;x
d_havena;Havena;Havena;Havena;;Havena;;;;;;;;;x
d_havena_adj;Havenan;;havener;;;;;;;;;;;x
d_heldentrutz;Heldentrutz;Heldentrutz;Heldentrutz;;Heldentrutz;;;;;;;;;x
d_heldentrutz_adj;Heldentrutzian;;heldentrutzer;;;;;;;;;;;x
d_honingen;Honingen;Honingen;Honingen;;Honingen;;;;;;;;;x
d_honingen_adj;Honingenian;;honingener;;;;;;;;;;;x
d_huegellande;Hügellande;Hügellande;Hügellande;;Hügellande;;;;;;;;;x
d_huegellande_adj;Hügellandean;;hügellander;;;;;;;;;;;x
d_isenhag;Isenhag;Isenhag;Isenhag;;Isenhag;;;;;;;;;x
d_isenhag_adj;Isenhagian;;isenhager;;;;;;;;;;;x
d_mendena;Mendena;Mendena;Mendena;;Mendena;;;;;;;;;x
d_mendena_adj;Mendenan;;mendener;;;;;;;;;;;x
d_misamund;Misamund;Misamund;Misamund;;Misamund;;;;;;;;;x
d_misamund_adj;Misamundian;;misamunder;;;;;;;;;;;x
d_ochsenwasser;Ochsenwasser;Ochsenwasser;Ochsenwasser;;Ochsenwasser;;;;;;;;;x
d_ochsenwasser_adj;Ochsenwasserian;;ochsenwasserer;;;;;;;;;;;x
d_osterfelden;Osterfelden;Osterfelden;Osterfelden;;Osterfelden;;;;;;;;;x
d_osterfelden_adj;Osterfeldenian;;osterfeldener;;;;;;;;;;;x
d_perricum;Perricum;Perricum;Perricum;;Perricum;;;;;;;;;x
d_perricum_adj;Perricumian;;perricumer;;;;;;;;;;;x
d_ragath;Ragath;Ragath;Ragath;;Ragath;;;;;;;;;x
d_ragath_adj;Ragathian;;ragather;;;;;;;;;;;x
d_reichsforst;Reichsforst;Reichsforst;Reichsforst;;Reichsforst;;;;;;;;;x
d_reichsforst_adj;Reichsforstian;;reichsforster;;;;;;;;;;;x
d_schlund;Schlund;Schlund;Schlund;;Schlund;;;;;;;;;x
d_schlund_adj;Schlundian;;schlunder;;;;;;;;;;;x
d_sichelwacht;Sichelwacht;Sichelwacht;Sichelwacht;;Sichelwacht;;;;;;;;;x
d_sichelwacht_adj;Sichelwachtian;;sichelwachter;;;;;;;;;;;x
d_suedpforte;Südpforte;Südpforte;Südpforte;;Südpforte;;;;;;;;;x
d_suedpforte_adj;Südpfortean;;südpforter;;;;;;;;;;;x
d_tobimora;Tobimora;Tobimora;Tobimora;;Tobimora;;;;;;;;;x
d_tobimora_adj;Tobimoran;;tobimorer;;;;;;;;;;;x
d_trollzacken;Trollzacken;Trollzacken;Trollzacken;;Trollzacken;;;;;;;;;x
d_trollzacken_adj;Trollzackenian;;trollzackener;;;;;;;;;;;x
d_waldstein;Waldstein;Waldstein;Waldstein;;Waldstein;;;;;;;;;x
d_waldstein_adj;Waldsteinian;;waldsteiner;;;;;;;;;;;x
d_waldwacht;Waldwacht;Waldwacht;Waldwacht;;Waldwacht;;;;;;;;;x
d_waldwacht_adj;Waldwachtian;;waldwachter;;;;;;;;;;;x
d_warunk;Warunk;Warunk;Warunk;;Warunk;;;;;;;;;x
d_warunk_adj;Warunkian;;warunker;;;;;;;;;;;x
d_wehrheim;Wehrheim;Wehrheim;Wehrheim;;Wehrheim;;;;;;;;;x
d_wehrheim_adj;Wehrheimian;;wehrheimer;;;;;;;;;;;x
d_wengenholm;Wengenholm;Wengenholm;Wengenholm;;Wengenholm;;;;;;;;;x
d_wengenholm_adj;Wengenholmian;;wengenholmer;;;;;;;;;;;x
d_windhag;Windhag;Windhag;Windhag;;Windhag;;;;;;;;;x
d_windhag_adj;Windhagian;;windhager;;;;;;;;;;;x
d_winhall;Winhall;Winhall;Winhall;;Winhall;;;;;;;;;x
d_winhall_adj;Winhallian;;winhaller;;;;;;;;;;;x
d_yaquirtal;Yaquirtal;Yaquirtal;Yaquirtal;;Yaquirtal;;;;;;;;;x
d_yaquirtal_adj;Yaquirtalian;;yaquirtaler;;;;;;;;;;;x
d_ysilia;Ysilia;Ysilia;Ysilia;;Ysilia;;;;;;;;;x
d_ysilia_adj;Ysilian;;ysiler;;;;;;;;;;;x
d_zorgan;Zorgan;Zorgan;Zorgan;;Zorgan;;;;;;;;;x
d_zorgan_adj;Zorganian;;zorganer;;;;;;;;;;;x
d_zweimuehlen;Zweimühlen;Zweimühlen;Zweimühlen;;Zweimühlen;;;;;;;;;x
d_zweimuehlen_adj;Zweimühlenian;;zweimühlener;;;;;;;;;;;x
